labels,Animals,Community,Plants,totals
ADAIRVILLE,5,,,5
ADAMS,4,,,4
ADDYSTON,2,,,2
ADOLPHUS,4,,,4
ALBANY,2,1,5,8
ALCORN,40,2,10,52
ALEXANDRIA,9,,,9
ALLEGRE,4,1,9,14
ALLEN SPRINGS,12,,1,13
ALLENSVILLE,19,5,6,30
ALTON,2,1,,3
ALTON STATION,1,,3,4
AMANDAVILLE,9,,,9
ANCHORAGE,20,,4,24
ANO,73,10,76,159
APPALACHIA,27,1,37,65
ARGILLITE,9,,1,10
ARLINGTON,58,2,5,65
ARTEMUS,12,,3,15
ASHBROOK,3,,,3
ASHLAND,6,,2,8
AUBURN,1,1,15,17
AULT,9,1,7,17
AURORA,1,,1,2
AUSTERLITZ,1,,,1
AUSTIN,2,,,2
BALKAN,22,,6,28
BALLARDSVILLE,3,,,3
BANDANA,28,,,28
BANGOR,29,,23,52
BARBOURVILLE,8,,,8
BARCREEK,7,,8,15
BARDSTOWN,9,1,5,15
BARLOW,62,1,10,73
BARTHELL,87,1,120,208
BARTHELL SW,4,2,10,16
BEATTYVILLE,8,,,8
BEDFORD,3,,,3
BEE SPRING,2,1,1,4
BEECH GROVE,1,1,3,5
BELFRY,1,,1,2
BELL FARM,61,,16,77
BENHAM,62,6,83,151
BEREA,1,,3,4
BERLIN,4,,,4
BERNSTADT,22,3,3,28
BERRY,16,1,,17
BETHLEHEM,9,,1,10
BEVERLY,16,,1,17
BIG CLIFTY,8,5,3,16
BIG CREEK,24,,8,32
BIG SPRING,24,6,3,33
BIGHILL,7,1,5,13
BILLOWS,36,4,10,50
BIRMINGHAM POINT,17,,34,51
BLACKEY,4,,,4
BLACKFORD,1,,,1
BLACKS FERRY,37,,6,43
BLACKWATER,5,1,10,16
BLAINE,4,,,4
BLANDVILLE,27,,,27
BLEDSOE,22,8,19,49
BOBTOWN,9,1,14,24
BOLTSFORK,3,,1,4
BONDURANT,97,5,46,148
BOONEVILLE,28,,7,35
BOWLING GREEN NORTH,38,1,7,46
BOWLING GREEN SOUTH,37,,6,43
BRADFORDSVILLE,6,3,1,10
BRADFORDSVILLE NE,,2,,2
BRECKINRIDGE,4,,,4
BREEDING,2,1,,3
BRIENSBURG,21,2,4,27
BRISTOW,4,2,10,16
BROAD BOTTOM,,,1,1
BRODHEAD,3,,4,7
BROOKS,2,5,15,22
BROWNFIELD,2,,,2
BROWNSVILLE,3,5,7,15
BRUIN,12,,4,16
BRUSH GROVE,3,,1,4
BRYANTSVILLE,2,,2,4
BUCHANAN,1,,,1
BUCKEYE,2,,1,3
BUCKHORN,3,1,1,5
BUENA VISTA,2,,,2
BURKESVILLE,26,,,26
BURLINGTON,16,2,,18
BURNA,24,1,5,30
BURNAUGH,1,,,1
BURNSIDE,19,1,43,63
BURTONVILLE,4,1,3,8
BUTLER,22,,,22
CABORN,1,,,1
CADIZ,8,,,8
CAIRO,27,,1,28
CALEDONIA,27,1,,28
CALHOUN,4,3,4,11
CALVERT CITY,56,,8,64
CAMPBELLSBURG,1,,,1
CAMPBELLSVILLE,5,,2,7
CAMPTON,4,,,4
CANE VALLEY,23,,6,29
CANEYVILLE,2,,,2
CANMER,92,2,7,101
CANNEL CITY,2,,,2
CANNELTON,7,1,1,9
CANOE,4,,,4
CANTON,14,,2,16
CARDWELL,3,,,3
CARLISLE,,,2,2
CARRIE,8,,,8
CARROLLTON,6,1,,7
CATLETTSBURG,,,1,1
CAVE-IN-ROCK,,,1,1
CAYCE,30,1,3,34
CECILIA,2,,,2
CENTER,17,2,7,26
CENTERVILLE,5,,1,6
CENTRAL CITY EAST,11,,2,13
CENTRAL CITY WEST,17,1,4,22
CHAPLIN,6,,1,7
CHARLESTOWN,3,,1,4
CHARTERS,1,,,1
CHURCH HILL,4,,,4
CLARKSON,2,2,,4
CLAY CITY,11,4,32,47
CLAYSVILLE,9,,3,12
CLEMENTSVILLE,2,,1,3
CLINTON,20,,1,21
CLINTONVILLE,1,,,1
CLOVERPORT,,1,2,3
COBB,12,,,12
COBHILL,92,2,4,98
COILTOWN,20,,2,22
COLESBURG,3,4,18,25
COLETOWN,2,,5,7
COLFAX,22,,3,25
COLUMBIA,21,,1,22
CONCORD,3,,1,4
CONSTANTINE,12,3,3,18
COOPERSVILLE,62,,4,66
CORBIN,1,2,13,16
CORNISHVILLE,7,,,7
COVINGTON,12,,1,13
COWAN,10,,15,25
COWCREEK,4,,1,5
CRAB ORCHARD,10,1,4,15
CRANSTON,14,1,3,18
CRAVENS,9,,1,10
CREEKVILLE,26,,11,37
CREELSBORO,41,,,41
CRESTWOOD,8,,2,10
CRIDER,5,,,5
CROFTON,8,1,,9
CROMWELL,5,3,2,10
CRUTCHFIELD,14,,,14
CUB RUN,14,3,5,22
CUBA,4,,,4
CUMBERLAND CITY,56,,3,59
CUMBERLAND FALLS,83,4,63,150
CUSTER,4,,,4
CUTSHIN,13,,,13
CYNTHIANA,7,,,7
DALTON,13,2,2,17
DANVILLE,4,,2,6
DAVID,7,,,7
DAWSON SPRINGS,18,1,3,22
DAWSON SPRINGS SE,,,1,1
DAWSON SPRINGS SW,9,2,3,14
DE MOSSVILLE,21,,1,22
DEKOVEN,6,2,4,12
DELAPLAIN,3,,1,4
DELAWARE,1,,1,2
DELBARTON,1,1,,2
DELMER,3,1,4,8
DENNIS,5,7,35,47
DERBY,3,,,3
DEXTER,1,,3,4
DINGUS,2,,,2
DIXON,1,,,1
DORTON,2,,,2
DOT,61,,6,67
DRAKE,15,,,15
DRAKESBORO,14,,,14
DUBLIN,42,2,3,47
DUBRE,14,1,,15
DUNDEE,1,,,1
DUNMOR,12,2,1,15
DUNNVILLE,7,1,8,16
DYCUSBURG,20,,2,22
DYKES,75,1,11,87
EAGAN,17,1,2,20
EAST FORK,7,,3,10
EDDYVILLE,14,,8,22
EDMONTON,1,,1,2
ELI,1,1,2,4
ELIZABETHTOWN,2,4,7,13
ELKHORN CITY,7,,4,11
ELKTON,3,1,3,7
ELLISBURG,,2,,2
ELVA,23,2,6,31
EMINENCE,6,,,6
EQUALITY,5,,1,6
EUBANK,1,,,1
EVANSVILLE SOUTH,11,,1,12
EVARTS,3,,2,5
EWING,66,4,41,111
EXIE,20,2,1,23
EZEL,21,,7,28
FAIRDEALING,10,,16,26
FAIRFIELD,1,,,1
FALLS OF ROUGH,5,2,,7
FALLSBURG,2,,,2
FALMOUTH,32,,1,33
FANCY FARM,8,,1,9
FARMERS,22,2,17,41
FARMINGTON,,,1,1
FAUBUSH,1,2,2,5
FELICITY,1,,,1
FENTON,24,,37,61
FISHERVILLE,6,,,6
FLAHERTY,12,,,12
FLAT GAP,10,1,11,22
FLEMINGSBURG,1,,,1
FLENER,1,,,1
FLORENCE,,,1,1
FORD,5,1,30,36
FORDSVILLE,,,1,1
FORK RIDGE,1,,2,3
FORT KNOX,6,,4,10
FOUNT,9,,,9
FOUNTAIN RUN,13,,,13
FRAKES,19,1,5,25
FRANKFORT EAST,9,,28,37
FRANKFORT WEST,5,,35,40
FRANKLIN,7,,,7
FRANKLINTON,,,2,2
FRAZER,7,1,10,18
FREDONIA,7,,,7
FRENCHBURG,32,1,6,39
FRIENDSHIP,9,,3,12
FROGUE,20,,1,21
GAMALIEL,11,,,11
GARFIELD,26,4,1,31
GARRISON,24,,11,35
GEORGETOWN,2,,,2
GLASGOW NORTH,5,,3,8
GLASGOW SOUTH,3,1,1,5
GLEN DEAN,2,,1,3
GLENCOE,11,,2,13
GLENSBORO,1,,,1
GLENVILLE,3,1,1,5
GOFORTH,8,,,8
GOLCONDA,16,2,10,28
GRACEY,4,,1,5
GRADYVILLE,6,,1,7
GRAHAM,14,1,,15
GRAHN,29,2,28,59
GRAND RIVERS,27,,3,30
GRATZ,11,,5,16
GRAVEL SWITCH,1,1,,2
GRAYSON,13,,2,15
GREENSBURG,32,,1,33
GREENUP,8,,,8
GRESHAM,41,,1,42
GROVE CENTER,10,,,10
GUAGE,8,,,8
GUSTON,7,1,,8
GUTHRIE,1,,1,2
HADDIX,8,,1,9
HADLEY,87,,2,89
HAIL,52,10,32,94
HALDEMAN,4,,1,5
HALEYS MILL,15,,,15
HALLS GAP,,1,,1
HAMLIN,22,,6,28
HAMMONVILLE,5,,5,10
HANDSHOE,6,,,6
HANSON,,,1,1
HARDIN,7,,,7
HARDINSBURG,10,,,10
HARLAN,6,4,5,15
HAROLD,4,,,4
HARRODSBURG,4,,10,14
HARTFORD,7,2,1,10
HAZARD NORTH,11,,3,14
HAZARD SOUTH,7,,,7
HAZEL GREEN,5,,,5
HEAD OF GRASSY,10,,2,12
HEATH,20,1,8,29
HEDGES,6,1,3,10
HEIDELBERG,12,3,4,19
HEIDRICK,6,,1,7
HELLIER,10,,,10
HELTON,21,3,5,29
HENDERSON,2,,,2
HERNDON,9,1,8,18
HIBERNIA,1,3,1,5
