Row Labels,aAnimals,aCommunities,aPlants,allExtant,hAnimals,hCommunities,hPlants,allHistoric,Animals,Plants,Communities,allRecords
ADAIRVILLE,4,,,4,1,,,1,5,0,0,5
ADAMS,2,,,2,2,,,2,4,0,0,4
ADDYSTON,,,,,2,,,2,2,0,0,2
ADOLPHUS,2,,,2,2,,,2,4,0,0,4
ALBANY,1,1,5,7,1,,,1,2,1,5,8
ALCORN,39,2,10,51,1,,,1,40,2,10,52
ALEXANDRIA,6,,,6,3,,,3,9,0,0,9
ALLEGRE,2,1,9,12,2,,,2,4,1,9,14
ALLEN SPRINGS,8,,1,9,4,,,4,12,0,1,13
ALLENSVILLE,17,4,6,27,2,1,,3,19,5,6,30
ALTON,1,1,,2,1,,,1,2,1,0,3
ALTON STATION,1,,3,4,,,,,1,0,3,4
AMANDAVILLE,7,,,7,2,,,2,9,0,0,9
ANCHORAGE,10,,3,13,10,,1,11,20,0,4,24
ANO,65,10,69,144,8,1,7,16,73,11,76,160
APPALACHIA,11,1,24,36,16,1,13,30,27,2,37,66
ARGILLITE,7,,1,8,2,,,2,9,0,1,10
ARLINGTON,39,1,3,43,19,1,2,22,58,2,5,65
ARTEMUS,11,,2,13,1,,1,2,12,0,3,15
ASHBROOK,3,,,3,,,,,3,0,0,3
ASHLAND,6,,2,8,,,,,6,0,2,8
AUBURN,1,1,14,16,,,1,1,1,1,15,17
AULT,8,1,7,16,1,,,1,9,1,7,17
AURORA,1,,,1,,,1,1,1,0,1,2
AUSTERLITZ,1,,,1,,,,,1,0,0,1
AUSTIN,1,,,1,1,,,1,2,0,0,2
BALKAN,18,,6,24,4,,,4,22,0,6,28
BALLARDSVILLE,2,,,2,1,,,1,3,0,0,3
BANDANA,21,,,21,7,,,7,28,0,0,28
BANGOR,25,,22,47,4,,1,5,29,0,23,52
BARBOURVILLE,4,,,4,4,,,4,8,0,0,8
BARCREEK,4,,8,12,3,,,3,7,0,8,15
BARDSTOWN,3,1,3,7,6,,2,8,9,1,5,15
BARLOW,53,1,9,63,9,,1,10,62,1,10,73
BARTHELL,87,1,109,197,3,,11,14,90,1,120,211
BARTHELL SW,3,2,9,14,1,,1,2,4,2,10,16
BEATTYVILLE,7,,,7,1,,,1,8,0,0,8
BEDFORD,2,,1,3,1,,,1,3,0,1,4
BEE SPRING,,1,1,2,2,,,2,2,1,1,4
